Radiation Energy,Intensity
KeV,counts
258.0962076,333.0
258.9341823,339.5
259.772157,333.5
260.6101317,321.5
261.4481064,343.5
262.2860811,332.0
263.1240558,365.0
263.9620305,350.5
264.8000052,372.0
265.6379799,388.0
266.4759546,384.0
267.3139293,403.0
268.151904,427.0
268.9898787,434.5
269.8278534,447.0
270.6658281,428.5
271.5038028,417.5
272.3417775,490.0
273.1797522,505.0
274.0177269,509.5
274.8557016,514.0
275.6936763,531.0
276.531651,565.5
277.3696257,564.0
278.2076004,591.5
279.0455751,583.5
279.8835498,636.0
280.7215245,654.5
281.5594992,648.5
282.3974739,684.5
283.2354486,683.0
284.0734233,719.5
284.911398,725.0
285.7493727,736.0
286.5873474,800.0
287.4253221,787.5
288.2632968,784.5
289.1012715,804.5
289.9392462,839.5
290.7772209,853.5
291.6151956,855.5
292.4531703,843.5
293.291145,888.5
294.1291197,890.0
294.9670944,940.0
295.8050691,951.5
296.6430438,994.5
297.4810185,986.5
298.3189932,986.0
299.1569679,1011.5
299.9949426,1059.0
300.8329173,1031.0
301.670892,1050.5
302.5088667,1055.0
303.3468414,1119.0
304.1848161,1119.5
305.0227908,1136.5
305.8607655,1092.0
306.6987402,1146.0
307.5367149,1129.5
308.3746896,1100.0
309.2126643,1163.0
310.050639,1173.5
310.8886137,1151.0
311.7265884,1162.0
312.5645631,1192.5
313.4025378,1169.5
314.2405125,1184.5
315.0784872,1146.0
315.9164619,1118.0
316.7544366,1137.0
317.5924113,1133.0
318.430386,1142.0
319.2683607,1167.0
320.1063354,1162.5
320.9443101,1122.0
321.7822848,1128.0
322.6202595,1156.5
323.4582342,1103.5
324.2962089,1111.5
325.1341836,1144.5
325.9721583,1125.5
326.810133,1130.0
327.6481077,1119.0
328.4860824,1120.5
329.3240571,1126.0
330.1620318,1131.0
331.0000065,1147.0
331.8379812,1141.0
332.6759559,1156.0
333.5139306,1175.5
334.3519053,1192.0
335.18988,1194.5
336.0278547,1256.0
336.8658294,1241.0
337.7038041,1224.5
338.5417788,1295.5
339.3797535,1371.0
340.2177282,1397.0
341.0557029,1393.5
341.8936776,1408.0
342.7316523,1436.0
343.569627,1532.0
344.4076017,1523.0
345.2455764,1572.0
346.0835511,1621.5
346.9215258,1654.0
347.7595005,1671.5
348.5974752,1791.5
349.4354499,1842.5
350.2734246,1822.5
351.1113993,1868.0
351.949374,1949.0
352.7873487,1933.5
353.6253234,2065.0
354.4632981,2070.0
355.3012728,2102.5
356.1392475,2137.5
356.9772222,2198.0
357.8151969,2239.5
358.6531716,2368.5
359.4911463,2331.5
360.329121,2397.0
361.1670957,2383.5
362.0050704,2394.5
362.8430451,2403.5
363.6810198,2488.0
364.5189945,2452.5
365.3569692,2444.0
366.1949439,2466.5
367.0329186,2471.5
367.8708933,2487.5
368.708868,2464.5
369.5468427,2445.5
370.3848174,2419.0
371.2227921,2428.0
372.0607668,2531.5
372.8987415,2460.0
373.7367162,2421.0
374.5746909,2396.0
375.4126656,2364.5
376.2506403,2376.0
377.088615,2299.0
377.9265897,2308.5
378.7645644,2253.5
379.6025391,2208.5
380.4405138,2162.0
381.2784885,2150.5
382.1164632,2113.0
382.9544379,2098.5
383.7924126,1977.0
384.6303873,1961.5
385.468362,1957.5
386.3063367,1897.5
387.1443114,1846.5
387.9822861,1781.5
388.8202608,1754.5
389.6582355,1692.0
390.4962102,1684.0
391.3341849,1678.5
392.1721596,1575.5
393.0101343,1483.0
393.848109,1450.5
394.6860837,1466.0
395.5240584,1435.0
396.3620331,1377.5
397.2000078,1309.0
398.0379825,1293.0
398.8759572,1279.5
399.7139319,1216.5
400.5519066,1171.0
401.3898813,1124.5
402.227856,1086.5
403.0658307,1079.5
403.9038054,1041.0
404.7417801,1037.0
405.5797548,999.5
406.4177295,953.5
407.2557042,935.0
408.0936789,928.0
408.9316536,864.0
409.7696283,861.5
410.607603,827.0
411.4455777,794.5
412.2835524,799.5
413.1215271,729.5
413.9595018,707.5
414.7974765,687.5
415.6354512,689.5
416.4734259,653.5
417.3114006,667.0
418.1493753,628.0
418.98735,611.0
419.8253247,564.5
420.6632994,575.0
421.5012741,562.0
422.3392488,545.5
423.1772235,528.5
424.0151982,522.0
424.8531729,465.5
425.6911476,452.0
426.5291223,449.0
427.367097,444.0
428.2050717,404.5
429.0430464,393.0
429.8810211,392.5
430.7189958,380.0
431.5569705,373.0
432.3949452,388.5
433.2329199,374.0
434.0708946,338.0
434.9088693,349.5
435.746844,343.0
436.5848187,321.5
437.4227934,338.0
438.2607681,293.5
439.0987428,306.5
439.9367175,328.5
440.7746922,281.5
441.6126669,277.5
442.4506416,296.0
443.2886163,306.0
444.126591,277.5
444.9645657,296.0
445.8025404,285.0
446.6405151,296.5
447.4784898,262.5
448.3164645,277.0
449.1544392,272.0
449.9924139,283.5
450.8303886,261.5
451.6683633,269.5
452.506338,289.5
453.3443127,256.5
454.1822874,266.0
455.0202621,275.5
455.8582368,275.0
456.6962115,283.5
457.5341862,255.5
458.3721609,237.5
459.2101356,270.0
460.0481103,249.0
460.886085,221.0
461.7240597,246.5
462.5620344,228.5
